POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
452, 28, 25.9926, 0, 142, 125, 26, 113, 22
453, 28, 21.5868, 0, 143, 125, 26, 113, 23
454, 28, 25.1592, 0, 142, 125, 26, 113, 23
455, 29, 25.276, 0, 143, 125, 27, 113, 24
456, 26, 31.4462, 0, 143, 125, 24, 113, 21
457, 28, 24.8251, 0, 143, 125, 25, 113, 23
458, 28, 23.5473, 0, 143, 125, 25, 113, 23
459, 28, 27.2455, 0, 143, 125, 25, 113, 23
460, 28, 27.9665, 0, 143, 125, 25, 113, 23
461, 28, 25.6217, 0, 143, 126, 25, 113, 23
462, 28, 26.2066, 0, 143, 126, 25, 113, 23
463, 28, 30.4032, 0, 143, 125, 26, 113, 23
464, 28, 34.2231, 0, 142, 125, 26, 114, 23
465, 29, 34.7967, 0, 143, 124, 26, 114, 24
466, 29, 42.3007, 0, 142, 123, 26, 114, 24
467, 30, 43.9495, 0, 141, 123, 27, 114, 25
468, 29, 47.8749, 0, 141, 123, 26, 115, 24
469, 31, 49.1494, 0, 140, 123, 27, 115, 25
470, 26, 87.6177, 0.63073, 142, 123, 24, 115, 22
471, 22, 89.1068, 0, 144, 123, 21, 115, 18
472, 23, 73.1445, 0, 145, 122, 21, 115, 18
473, 21, 69.379, 0, 146, 122, 20, 115, 17
474, 20, 65.727, 0, 148, 122, 19, 115, 15
475, 19, 62.8321, 0, 148, 123, 19, 115, 14
476, 19, 40.62, 0.302393, 148, 123, 19, 115, 14
