ScenarioID,Device,OS,Content,Codec,ServedBitrate,SegmentLength,FrameRate,PlayerName,GPU,NICType,Bandwidth,Metric
e4a407a011464a20a3585ade7fe846b8,laptop,windows-10,Lifting_Off,x265,2,10s,24,dashjs,enabled,localhost,-,Ren./Dec.
11c7e6048677493faeb965091d96bb28,laptop,windows-10,Lifting_Off,x265,3,10s,24,dashjs,enabled,localhost,-,Ren./Dec.
827235af4433458fbb8a0155f7cf94c3,laptop,windows-10,Lifting_Off,x265,4,10s,24,dashjs,enabled,localhost,-,Ren./Dec.
473b431bbf3a477490670860815334ff,laptop,windows-10,Lifting_Off,x265,5,10s,24,dashjs,enabled,localhost,-,Ren./Dec.
4e546f24ca414db8963a8daf57cc4f31,laptop,windows-10,Lifting_Off,x265,6,10s,24,dashjs,enabled,localhost,-,Ren./Dec.
6f629152d3864eb4805bafe359e1a6e7,laptop,windows-10,Lifting_Off,x265,7,10s,24,dashjs,enabled,localhost,-,Ren./Dec.
4dfdfa0ef4b449c290c3f0383ea86a5a,laptop,windows-10,Lifting_Off,x265,8,10s,24,dashjs,enabled,localhost,-,Ren./Dec.
6dc6b835d3a7471496fe98c36406715b,laptop,windows-10,Lifting_Off,x265,9,10s,24,dashjs,enabled,localhost,-,Ren./Dec.
0bbb61b80a0641659bc55df44b903787,laptop,windows-10,Lifting_Off,x265,10,10s,24,dashjs,enabled,localhost,-,Ren./Dec.
7377d162483d4a3d9eb13eca0514955c,laptop,windows-10,Lifting_Off,x265,11,10s,24,dashjs,enabled,localhost,-,Ren./Dec.
8e5224b4b39945559bfa5a27dc114106,laptop,windows-10,Lifting_Off,x265,12,10s,24,dashjs,enabled,localhost,-,Ren./Dec.
241dc9fe13cd48e19aa73f7dd156cdf3,laptop,windows-10,Lifting_Off,vp9,1,1s,24,dashjs,enabled,localhost,-,Ren./Dec.
28d629fdd2724882a0b32a8faf583e2c,laptop,windows-10,Lifting_Off,vp9,2,1s,24,dashjs,enabled,localhost,-,Ren./Dec.
ba194a2c5bd246d6a870202ecdf84250,laptop,windows-10,Lifting_Off,vp9,3,1s,24,dashjs,enabled,localhost,-,Ren./Dec.
0b60698e1ebc439da39f616c451b5f6f,laptop,windows-10,Lifting_Off,vp9,4,1s,24,dashjs,enabled,localhost,-,Ren./Dec.
d0bc0e9a75c44af5b4d50831b478a9e4,laptop,windows-10,Lifting_Off,vp9,5,1s,24,dashjs,enabled,localhost,-,Ren./Dec.
a214036015e24d989ce9ca9229743d80,laptop,windows-10,Lifting_Off,vp9,6,1s,24,dashjs,enabled,localhost,-,Ren./Dec.
f169973d459a4bf2b8b53b6e357df328,laptop,windows-10,Lifting_Off,vp9,7,1s,24,dashjs,enabled,localhost,-,Ren./Dec.
3be5f235bd3146598fe7215d8ad36ea0,laptop,windows-10,Lifting_Off,vp9,8,1s,24,dashjs,enabled,localhost,-,Ren./Dec.
b955d2a2325d4cd4a7fa30095113de42,laptop,windows-10,Lifting_Off,vp9,9,1s,24,dashjs,enabled,localhost,-,Ren./Dec.
178ebb71225c47cbbb0e59aa39774b9f,laptop,windows-10,Lifting_Off,vp9,10,1s,24,dashjs,enabled,localhost,-,Ren./Dec.
e88833ad14ba479c90e3bfe917bdc9c4,laptop,windows-10,Lifting_Off,vp9,11,1s,24,dashjs,enabled,localhost,-,Ren./Dec.
004c54ecb0a34dedb5c7763c4f51b051,laptop,windows-10,Lifting_Off,vp9,12,1s,24,dashjs,enabled,localhost,-,Ren./Dec.
4283747b68714164b7cca3211966459f,laptop,windows-10,Lifting_Off,vp9,1,2s,24,dashjs,enabled,localhost,-,Ren./Dec.
b7858c17924441b2837c6084b2b35157,laptop,windows-10,Lifting_Off,vp9,2,2s,24,dashjs,enabled,localhost,-,Ren./Dec.
